,Provider.Number,Hospital.Name,Address.1,Address.2,Address.3,City,State,ZIP.Code,County.Name,Phone.Number,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Hospital.30.Day.Readmission.Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Footnote...Hospital.30.Day.Readmission.Rates.from.Pneumonia
329,050111,TEMPLE COMMUNITY HOSPITAL,235 N HOOVER ST,,,LOS ANGELES,CA,90004,LOS ANGELES,2133827252,15.8,No Different than U.S. National Rate,12.0,20.6,32,,10.0,No Different than U.S. National Rate,7.3,13.4,121,,11.7,No Different than U.S. National Rate,8.8,15.5,86,,19.5,No Different than U.S. National Rate,15.5,24.1,28,,25.8,No Different than U.S. National Rate,21.7,30.2,141,,19.0,No Different than U.S. National Rate,15.3,23.1,76,
330,050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,,,SANTA MONICA,CA,90404,LOS ANGELES,3103194000,13.9,No Different than U.S. National Rate,11.1,17.0,147,,9.0,Better than U.S. National Rate,7.2,11.4,337,,9.7,Better than U.S. National Rate,7.8,11.9,356,,19.6,No Different than U.S. National Rate,16.1,23.7,133,,24.3,No Different than U.S. National Rate,21.4,27.5,415,,21.1,No Different than U.S. National Rate,17.9,24.3,382,
332,050115,PALOMAR MEDICAL CENTER,555 E VALLEY PARKWAY,,,ESCONDIDO,CA,92025,SAN DIEGO,7607393000,15.3,No Different than U.S. National Rate,12.3,18.8,224,,11.5,No Different than U.S. National Rate,9.3,14.2,313,,13.2,No Different than U.S. National Rate,10.4,16.8,241,,18.3,No Different than U.S. National Rate,14.9,22.1,232,,23.7,No Different than U.S. National Rate,20.5,27.4,375,,17.1,No Different than U.S. National Rate,14.2,20.7,264,
333,050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,,,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,14.3,No Different than U.S. National Rate,11.6,17.4,226,,9.7,No Different than U.S. National Rate,7.7,12.0,382,,9.2,Better than U.S. National Rate,7.2,11.5,302,,19.9,No Different than U.S. National Rate,16.9,23.4,228,,24.6,No Different than U.S. National Rate,21.6,27.8,480,,18.3,No Different than U.S. National Rate,15.5,21.5,309,
334,050118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH ST,,,MANTECA,CA,95336,SAN JOAQUIN,2098233111,15.7,No Different than U.S. National Rate,12.0,20.2,41,,13.0,No Different than U.S. National Rate,10.0,16.7,188,,9.8,No Different than U.S. National Rate,7.3,12.9,183,,20.9,No Different than U.S. National Rate,16.6,25.7,25,,28.3,No Different than U.S. National Rate,24.1,32.8,225,,21.9,No Different than U.S. National Rate,18.0,26.1,188,
335,050121,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,,,HANFORD,CA,93230,KINGS,5595829000,18.2,No Different than U.S. National Rate,14.7,22.2,112,,12.3,No Different than U.S. National Rate,10.0,15.1,367,,12.3,No Different than U.S. National Rate,10.1,15.1,459,,19.4,No Different than U.S. National Rate,15.5,23.4,63,,25.8,No Different than U.S. National Rate,22.7,29.2,469,,18.9,No Different than U.S. National Rate,16.0,22.1,451,
336,050122,DAMERON HOSPITAL,525 WEST ACACIA STREET,,,STOCKTON,CA,95203,SAN JOAQUIN,2099445550,15.9,No Different than U.S. National Rate,11.9,20.9,54,,15.5,Worse than U.S. National Rate,11.9,20.3,113,,12.8,No Different than U.S. National Rate,9.9,16.6,163,,20.9,No Different than U.S. National Rate,16.5,25.7,58,,27.5,No Different than U.S. National Rate,23.2,32.2,132,,18.1,No Different than U.S. National Rate,14.6,22.0,162,
337,050124,VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,,,GLENDALE,CA,91209,LOS ANGELES,8187907100,16.3,No Different than U.S. National Rate,12.9,20.4,80,,9.9,No Different than U.S. National Rate,7.4,12.9,165,,12.8,No Different than U.S. National Rate,10.0,16.1,222,,19.4,No Different than U.S. National Rate,15.6,24.0,42,,23.8,No Different than U.S. National Rate,20.1,28.2,197,,18.0,No Different than U.S. National Rate,14.9,21.8,217,
338,050125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,,,SAN JOSE,CA,95116,SANTA CLARA,4082595000,13.9,No Different than U.S. National Rate,11.1,17.1,186,,8.1,Better than U.S. National Rate,6.4,10.3,425,,11.4,No Different than U.S. National Rate,9.1,14.2,425,,18.7,No Different than U.S. National Rate,15.5,22.5,169,,25.9,No Different than U.S. National Rate,22.7,29.2,476,,18.4,No Different than U.S. National Rate,15.6,21.3,412,
339,050126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,,,VAN NUYS,CA,91406,LOS ANGELES,8189023906,14.7,No Different than U.S. National Rate,11.9,18.0,168,,9.3,Better than U.S. National Rate,7.5,11.5,367,,11.2,No Different than U.S. National Rate,9.0,13.9,246,,19.0,No Different than U.S. National Rate,15.8,22.7,188,,25.5,No Different than U.S. National Rate,22.5,28.8,431,,19.2,No Different than U.S. National Rate,16.1,22.6,245,
340,050127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,,,WOODLAND,CA,95695,YOLO,5306623961,15.6,No Different than U.S. National Rate,11.8,20.1,31,,13.3,No Different than U.S. National Rate,9.4,17.9,53,,14.6,No Different than U.S. National Rate,11.1,18.8,108,,19.7,No Different than U.S. National Rate,15.4,25.1,25,,21.6,No Different than U.S. National Rate,17.6,26.5,71,,17.5,No Different than U.S. National Rate,14.0,21.7,108,
341,050128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,,,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,15.3,No Different than U.S. National Rate,12.7,18.3,253,,12.9,No Different than U.S. National Rate,10.5,15.9,369,,14.5,Worse than U.S. National Rate,12.1,17.4,483,,16.1,No Different than U.S. National Rate,13.2,20.0,243,,21.2,Better than U.S. National Rate,18.4,24.4,465,,16.0,No Different than U.S. National Rate,13.6,18.9,539,
342,050129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,,,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098814440,14.9,No Different than U.S. National Rate,11.7,18.5,209,,10.7,No Different than U.S. National Rate,8.1,13.9,247,,10.1,No Different than U.S. National Rate,7.7,13.1,226,,20.5,No Different than U.S. National Rate,17.4,24.0,335,,24.5,No Different than U.S. National Rate,21.1,28.1,322,,16.7,No Different than U.S. National Rate,13.8,19.9,244,
343,050131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,,,NOVATO,CA,94945,MARIN,4152091300,14.2,No Different than U.S. National Rate,10.7,18.4,37,,10.3,No Different than U.S. National Rate,7.5,13.9,103,,12.6,No Different than U.S. National Rate,9.0,17.1,81,,19.1,No Different than U.S. National Rate,14.9,23.7,30,,22.3,No Different than U.S. National Rate,18.2,26.7,120,,17.8,No Different than U.S. National Rate,14.2,22.1,82,
344,050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,,,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,15.0,No Different than U.S. National Rate,11.8,18.9,80,,11.0,No Different than U.S. National Rate,8.9,13.6,255,,9.8,Better than U.S. National Rate,8.1,11.9,379,,21.7,No Different than U.S. National Rate,17.5,26.4,51,,25.5,No Different than U.S. National Rate,22.0,29.1,284,,21.0,No Different than U.S. National Rate,18.0,24.0,397,
345,050133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,,,MARYSVILLE,CA,95901,YUBA,5307494300,15.1,No Different than U.S. National Rate,12.2,18.6,259,,15.8,Worse than U.S. National Rate,13.3,18.5,503,,15.2,Worse than U.S. National Rate,12.9,17.6,701,,19.8,No Different than U.S. National Rate,16.6,23.2,262,,23.4,No Different than U.S. National Rate,20.6,26.5,581,,18.3,No Different than U.S. National Rate,16.0,20.9,719,
347,050136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,,,PETALUMA,CA,94954,SONOMA,7077781111,15.2,No Different than U.S. National Rate,12.2,18.8,121,,12.0,No Different than U.S. National Rate,9.0,15.5,119,,14.0,No Different than U.S. National Rate,10.9,17.4,190,,18.4,No Different than U.S. National Rate,14.9,22.4,106,,24.2,No Different than U.S. National Rate,20.1,28.8,133,,17.6,No Different than U.S. National Rate,14.5,21.2,198,
352,050145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,,,MONTEREY,CA,93940,MONTEREY,8316245311,15.8,No Different than U.S. National Rate,12.8,19.2,237,,10.6,No Different than U.S. National Rate,8.5,13.1,414,,12.3,No Different than U.S. National Rate,10.1,14.9,500,,17.7,No Different than U.S. National Rate,14.6,21.3,225,,20.0,Better than U.S. National Rate,17.2,23.4,475,,18.3,No Different than U.S. National Rate,15.5,21.5,496,
353,050149,CALIFORNIA HOSPITAL MEDICAL CENTER LA,1401 SOUTH GRAND AVENUE,,,LOS ANGELES,CA,90015,LOS ANGELES,2137482411,13.7,No Different than U.S. National Rate,10.2,18.1,44,,7.5,Better than U.S. National Rate,5.4,10.6,160,,12.3,No Different than U.S. National Rate,8.7,17.0,68,,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.9,No Different than U.S. National Rate,22.3,30.0,204,,17.9,No Different than U.S. National Rate,14.3,22.3,65,
354,050150,SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,,,GRASS VALLEY,CA,95945,NEVADA,5302746000,15.8,No Different than U.S. National Rate,12.5,19.4,104,,12.4,No Different than U.S. National Rate,10.0,15.3,249,,10.9,No Different than U.S. National Rate,8.5,13.7,304,,19.1,No Different than U.S. National Rate,15.4,23.2,71,,25.1,No Different than U.S. National Rate,21.6,28.8,312,,21.0,No Different than U.S. National Rate,17.7,24.5,363,
355,050152,SAINT FRANCIS MEMORIAL HOSPITAL,900 HYDE ST,,,SAN FRANCISCO,CA,94109,SAN FRANCISCO,4153536000,16.9,No Different than U.S. National Rate,13.1,21.4,28,,11.6,No Different than U.S. National Rate,8.9,14.8,170,,14.7,No Different than U.S. National Rate,11.6,18.1,209,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.6,No Different than U.S. National Rate,21.6,30.1,198,,18.8,No Different than U.S. National Rate,15.6,22.8,209,
356,050153,O'CONNOR HOSPITAL,2105 FOREST AVENUE,,,SAN JOSE,CA,95128,SANTA CLARA,4089472500,15.2,No Different than U.S. National Rate,11.9,19.0,147,,11.7,No Different than U.S. National Rate,9.4,14.3,446,,13.4,No Different than U.S. National Rate,11.0,16.1,399,,21.9,No Different than U.S. National Rate,18.1,26.3,152,,25.1,No Different than U.S. National Rate,22.1,28.2,544,,17.7,No Different than U.S. National Rate,14.9,20.8,417,
357,050158,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,,,ENCINO,CA,91436,LOS ANGELES,8189955000,13.3,No Different than U.S. National Rate,10.3,17.0,32,,8.6,No Different than U.S. National Rate,6.3,11.6,95,,9.4,No Different than U.S. National Rate,6.6,13.1,66,,19.3,No Different than U.S. National Rate,15.4,23.6,32,,27.8,No Different than U.S. National Rate,23.4,32.7,124,,19.5,No Different than U.S. National Rate,15.6,24.0,75,
359,050167,SAN JOAQUIN GENERAL HOSPITAL,500 W HOSPITAL ROAD,,,FRENCH CAMP,CA,95231,SAN JOAQUIN,2094686000,17.1,No Different than U.S. National Rate,12.4,22.8,28,,13.1,No Different than U.S. National Rate,9.1,18.4,63,,13.1,No Different than U.S. National Rate,9.3,18.5,71,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.3,No Different than U.S. National Rate,19.1,28.2,80,,17.6,No Different than U.S. National Rate,13.8,22.0,76,
360,050168,ST JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,,,FULLERTON,CA,92835,ORANGE,7149923000,14.5,No Different than U.S. National Rate,12.0,17.2,322,,10.2,No Different than U.S. National Rate,8.4,12.3,566,,11.3,No Different than U.S. National Rate,9.2,13.8,415,,18.8,No Different than U.S. National Rate,15.8,22.2,325,,24.0,No Different than U.S. National Rate,21.4,26.8,665,,17.6,No Different than U.S. National Rate,15.0,20.7,423,
361,050169,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,12401 E WASHINGTON BLVD,,,WHITTIER,CA,90602,LOS ANGELES,5266980811,12.9,Better than U.S. National Rate,10.8,15.4,369,,10.1,No Different than U.S. National Rate,7.9,12.6,307,,8.7,Better than U.S. National Rate,6.7,11.1,288,,18.5,No Different than U.S. National Rate,15.9,21.6,394,,25.8,No Different than U.S. National Rate,22.5,29.1,397,,18.6,No Different than U.S. National Rate,15.6,22.0,310,
362,050174,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,,,SANTA ROSA,CA,95405,SONOMA,7075255300,14.7,No Different than U.S. National Rate,12.2,17.6,296,,14.0,Worse than U.S. National Rate,11.9,16.4,467,,11.7,No Different than U.S. National Rate,9.5,14.2,414,,15.4,Better than U.S. National Rate,12.7,18.6,301,,20.8,Better than U.S. National Rate,18.2,24.1,521,,16.2,No Different than U.S. National Rate,13.6,19.4,406,
363,050179,EMANUEL MEDICAL CENTER INC,825 DELBON AVE,,,TURLOCK,CA,95382,STANISLAUS,2096674200,16.2,No Different than U.S. National Rate,13.3,19.7,151,,14.1,No Different than U.S. National Rate,11.5,17.3,333,,13.4,No Different than U.S. National Rate,11.0,16.2,417,,21.3,No Different than U.S. National Rate,17.4,25.8,101,,24.5,No Different than U.S. National Rate,21.2,27.9,382,,19.3,No Different than U.S. National Rate,16.4,22.4,412,
364,050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,,,WALNUT CREEK,CA,94598,CONTRA COSTA,9259393000,14.0,No Different than U.S. National Rate,11.8,16.6,294,,10.6,No Different than U.S. National Rate,8.8,12.7,498,,9.7,No Different than U.S. National Rate,7.9,12.0,413,,18.4,No Different than U.S. National Rate,15.5,22.0,263,,21.0,Better than U.S. National Rate,18.4,24.2,531,,17.3,No Different than U.S. National Rate,14.6,20.4,441,
366,050191,ST MARY MEDICAL CENTER,1050 LINDEN AVE,,,LONG BEACH,CA,90813,LOS ANGELES,5624919000,13.9,No Different than U.S. National Rate,10.5,18.0,76,,10.0,No Different than U.S. National Rate,7.6,13.1,169,,8.9,Better than U.S. National Rate,6.9,11.3,218,,20.2,No Different than U.S. National Rate,16.5,24.3,82,,24.7,No Different than U.S. National Rate,21.1,28.6,206,,16.9,No Different than U.S. National Rate,14.1,20.2,207,
368,050194,WATSONVILLE COMMUNITY HOSPITAL,75 NIELSON STREET,,,WATSONVILLE,CA,95076,SANTA CRUZ,8317244741,17.1,No Different than U.S. National Rate,13.3,22.0,69,,13.4,No Different than U.S. National Rate,10.3,17.4,238,,11.1,No Different than U.S. National Rate,8.4,14.6,190,,20.2,No Different than U.S. National Rate,16.1,24.9,44,,22.4,No Different than U.S. National Rate,19.1,26.5,273,,19.3,No Different than U.S. National Rate,15.8,23.4,198,
369,050195,WASHINGTON HOSPITAL,2000 MOWRY AVE,,,FREMONT,CA,94538,ALAMEDA,5107971111,13.9,No Different than U.S. National Rate,11.1,16.9,231,,9.5,No Different than U.S. National Rate,7.6,11.7,410,,11.7,No Different than U.S. National Rate,9.6,14.2,456,,18.8,No Different than U.S. National Rate,15.8,22.5,234,,25.7,No Different than U.S. National Rate,22.7,29.0,479,,20.7,No Different than U.S. National Rate,17.8,23.8,461,
371,050197,SEQUOIA HOSPITAL,170 ALAMEDA DE LAS PULGAS,,,REDWOOD CITY,CA,94062,SAN MATEO,6503675551,13.1,No Different than U.S. National Rate,10.0,17.2,98,,11.2,No Different than U.S. National Rate,9.0,13.9,354,,9.7,No Different than U.S. National Rate,7.2,12.6,249,,18.6,No Different than U.S. National Rate,14.7,22.7,107,,22.6,No Different than U.S. National Rate,19.5,26.1,423,,16.4,No Different than U.S. National Rate,13.5,19.8,257,
372,050204,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,,,PALMDALE,CA,93552,LOS ANGELES,6613825000,16.3,No Different than U.S. National Rate,12.4,21.1,87,,10.6,No Different than U.S. National Rate,8.0,14.1,211,,11.0,No Different than U.S. National Rate,8.2,14.6,186,,20.1,No Different than U.S. National Rate,16.2,24.6,74,,26.5,No Different than U.S. National Rate,22.7,30.5,273,,17.7,No Different than U.S. National Rate,14.6,21.3,190,
373,050205,EAST VALLEY HOSPITAL MEDICAL CENTER,150 WEST ROUTE 66,,,GLENDORA,CA,91740,LOS ANGELES,6263350231,13.9,No Different than U.S. National Rate,10.6,17.8,27,,11.0,No Different than U.S. National Rate,7.9,14.9,41,,9.4,No Different than U.S. National Rate,6.9,12.6,98,,18.7,No Different than U.S. National Rate,15.0,23.1,26,,24.0,No Different than U.S. National Rate,19.5,29.1,45,,17.5,No Different than U.S. National Rate,14.0,21.6,106,
374,050211,ALAMEDA HOSPITAL,2070 CLINTON AVE,,,ALAMEDA,CA,94501,ALAMEDA,5105223700,14.3,No Different than U.S. National Rate,11.4,17.6,75,,12.2,No Different than U.S. National Rate,9.6,15.2,177,,9.0,Better than U.S. National Rate,6.9,11.7,186,,20.6,No Different than U.S. National Rate,16.7,24.8,67,,25.2,No Different than U.S. National Rate,21.3,29.1,225,,18.4,No Different than U.S. National Rate,15.2,22.1,199,
375,050222,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,,,CHULA VISTA,CA,91911,SAN DIEGO,6195025800,12.6,No Different than U.S. National Rate,10.1,15.8,240,,8.6,Better than U.S. National Rate,6.9,10.8,470,,11.3,No Different than U.S. National Rate,9.1,14.0,369,,17.6,No Different than U.S. National Rate,14.7,21.0,247,,23.5,No Different than U.S. National Rate,20.8,26.3,577,,15.8,No Different than U.S. National Rate,13.2,18.8,364,
376,050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,,,NEWPORT BEACH,CA,92663,ORANGE,9496458600,15.3,No Different than U.S. National Rate,12.6,18.5,277,,11.1,No Different than U.S. National Rate,9.2,13.1,564,,12.2,No Different than U.S. National Rate,10.5,14.2,739,,18.6,No Different than U.S. National Rate,15.5,22.2,261,,23.1,No Different than U.S. National Rate,20.5,25.7,694,,17.5,No Different than U.S. National Rate,15.4,19.9,756,
377,050225,FEATHER RIVER HOSPITAL,5974 PENTZ ROAD,,,PARADISE,CA,95969,BUTTE,5308779361,15.4,No Different than U.S. National Rate,12.0,19.1,117,,11.5,No Different than U.S. National Rate,8.7,14.9,193,,12.0,No Different than U.S. National Rate,9.4,15.2,260,,19.2,No Different than U.S. National Rate,15.4,23.5,89,,22.3,No Different than U.S. National Rate,18.7,26.4,211,,16.4,No Different than U.S. National Rate,13.5,19.7,259,
378,050226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,,,ANAHEIM,CA,92801,ORANGE,7147741450,16.4,No Different than U.S. National Rate,13.1,20.7,117,,9.9,No Different than U.S. National Rate,7.6,12.6,272,,9.5,No Different than U.S. National Rate,7.2,12.2,267,,21.4,No Different than U.S. National Rate,17.6,25.7,135,,24.1,No Different than U.S. National Rate,20.9,27.8,351,,19.0,No Different than U.S. National Rate,16.0,22.3,292,
379,050228,SAN FRANCISCO GENERAL HOSPITAL,1001 POTRERO AVENUE,,,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4152068000,17.4,No Different than U.S. National Rate,13.6,22.1,67,,11.9,No Different than U.S. National Rate,8.8,16.1,134,,10.7,No Different than U.S. National Rate,7.6,14.8,110,,21.0,No Different than U.S. National Rate,16.8,26.0,52,,24.9,No Different than U.S. National Rate,20.7,29.4,167,,17.7,No Different than U.S. National Rate,14.0,22.1,128,
380,050230,GARDEN GROVE HOSPITAL & MEDICAL CENTER,12601 GARDEN GROVE BLVD,,,GARDEN GROVE,CA,92843,ORANGE,7145375160,13.4,No Different than U.S. National Rate,10.7,16.5,97,,9.3,No Different than U.S. National Rate,6.8,12.2,87,,9.5,No Different than U.S. National Rate,7.1,12.4,127,,20.1,No Different than U.S. National Rate,16.3,24.4,80,,25.1,No Different than U.S. National Rate,20.8,30.0,103,,17.1,No Different than U.S. National Rate,13.8,20.8,128,
381,050231,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,,,POMONA,CA,91767,LOS ANGELES,9098659500,14.2,No Different than U.S. National Rate,11.0,17.9,117,,11.2,No Different than U.S. National Rate,9.0,13.9,355,,10.5,No Different than U.S. National Rate,8.0,13.8,168,,17.7,No Different than U.S. National Rate,14.6,21.6,117,,24.0,No Different than U.S. National Rate,21.0,27.2,421,,19.3,No Different than U.S. National Rate,15.7,23.1,166,
382,050232,FRENCH HOSPITAL MEDICAL CENTER,1911 JOHNSON AVE,,,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,8055435353,13.2,No Different than U.S. National Rate,10.1,17.0,188,,12.9,No Different than U.S. National Rate,9.8,16.7,165,,14.0,No Different than U.S. National Rate,10.9,17.8,181,,18.8,No Different than U.S. National Rate,15.4,22.6,234,,24.2,No Different than U.S. National Rate,20.4,28.5,196,,17.3,No Different than U.S. National Rate,14.0,21.0,198,
384,050235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA,,,BURBANK,CA,91505,LOS ANGELES,8188435111,14.8,No Different than U.S. National Rate,12.1,18.3,212,,10.3,No Different than U.S. National Rate,8.6,12.3,691,,10.3,No Different than U.S. National Rate,8.3,12.6,385,,18.5,No Different than U.S. National Rate,15.0,22.3,213,,24.9,No Different than U.S. National Rate,22.4,27.6,831,,20.0,No Different than U.S. National Rate,16.9,23.3,380,
385,050236,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES,2975 N SYCAMORE DR,,,SIMI VALLEY,CA,93065,VENTURA,8059556000,15.4,No Different than U.S. National Rate,12.3,19.0,129,,10.9,No Different than U.S. National Rate,8.4,14.2,192,,9.8,No Different than U.S. National Rate,7.5,12.6,206,,21.5,No Different than U.S. National Rate,17.7,26.0,93,,25.3,No Different than U.S. National Rate,21.7,29.3,226,,16.7,No Different than U.S. National Rate,13.7,20.1,202,
386,050238,METHODIST HOSPITAL OF SOUTHERN CA,300 W HUNTINGTON DR,,,ARCADIA,CA,91006,LOS ANGELES,6264454441,14.4,No Different than U.S. National Rate,12.0,17.1,304,,9.7,No Different than U.S. National Rate,7.9,11.7,619,,10.7,No Different than U.S. National Rate,8.7,12.9,518,,19.0,No Different than U.S. National Rate,16.2,22.2,294,,21.0,Better than U.S. National Rate,18.6,23.9,724,,17.0,No Different than U.S. National Rate,14.6,19.8,517,
387,050239,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,,,GLENDALE,CA,91206,LOS ANGELES,8184098202,10.5,Better than U.S. National Rate,8.4,12.9,311,,8.4,Better than U.S. National Rate,6.7,10.5,528,,9.7,Better than U.S. National Rate,7.9,11.8,518,,20.1,No Different than U.S. National Rate,17.0,23.4,331,,26.9,No Different than U.S. National Rate,24.0,29.7,639,,19.6,No Different than U.S. National Rate,17.0,22.5,508,
388,050242,DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,,,SANTA CRUZ,CA,95065,SANTA CRUZ,8314627700,15.4,No Different than U.S. National Rate,12.4,19.0,219,,13.7,No Different than U.S. National Rate,11.3,16.6,404,,13.6,No Different than U.S. National Rate,11.0,16.6,348,,17.9,No Different than U.S. National Rate,14.6,21.7,227,,22.6,No Different than U.S. National Rate,19.6,26.1,460,,15.9,No Different than U.S. National Rate,13.2,19.3,351,
389,050243,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,,,PALM SPRINGS,CA,92262,RIVERSIDE,7603236511,15.3,No Different than U.S. National Rate,12.2,19.3,201,,13.9,No Different than U.S. National Rate,10.9,17.3,262,,11.6,No Different than U.S. National Rate,9.0,14.8,277,,18.1,No Different than U.S. National Rate,14.9,21.9,228,,25.7,No Different than U.S. National Rate,22.0,29.5,304,,17.0,No Different than U.S. National Rate,14.2,20.3,294,
